episode_id,t,s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
64,24,0.6342559901193587,0.5839423043192845,-1.7157867263361137,-1.0643228421600022,-1.4510185282367827,1,-0.0654419481754303,0.6437868744707403,0.5856144649340727,-1.6796794954413152,-1.1322627515898696,-1.2843621247343044,0
64,25,0.6437868744707403,0.5856144649340727,-1.6796794954413152,-1.1322627515898696,-1.2843621247343044,2,-0.6845672130584717,0.5973861933776894,0.5742192948697574,-1.6435722645465165,-1.2341726157346706,-1.1822967735001022,0
64,26,0.5973861933776894,0.5742192948697574,-1.6435722645465165,-1.2341726157346706,-1.1822967735001022,0,-0.19046107828617095,0.5896375543225169,0.565093119377558,-1.607465033651718,-1.3700524345944054,-1.3505461460737118,0
64,27,0.5896375543225169,0.565093119377558,-1.607465033651718,-1.3700524345944054,-1.3505461460737118,2,-0.6365179568529129,0.5680560277616733,0.5460594732059719,-1.5713578027569193,-1.200202661019737,-1.3449678461742305,0
64,28,0.5680560277616733,0.5460594732059719,-1.5713578027569193,-1.200202661019737,-1.3449678461742305,1,-0.054079786688089375,0.5745984977081663,0.5499755297910075,-1.5352505718621208,-1.2341726157346706,-1.6690288919715595,0
64,29,0.5745984977081663,0.5499755297910075,-1.5352505718621208,-1.2341726157346706,-1.6690288919715595,1,-0.057071004062891006,0.607108591602815,0.5883681593874277,-1.499143340967322,-1.0982927968749359,-1.5677610206119836,0
64,30,0.607108591602815,0.5883681593874277,-1.499143340967322,-1.0982927968749359,-1.5677610206119836,1,-0.05,0.632713137165331,0.593324863378955,-1.4630361100725235,-1.0643228421600022,-1.8071503566709337,0
64,31,0.632713137165331,0.593324863378955,-1.4630361100725235,-1.0643228421600022,-1.8071503566709337,1,-0.05,0.6438375151585091,0.5991573196614739,-1.426928879177725,-1.0643228421600022,-1.8071503566709337,0
64,32,0.6438375151585091,0.5991573196614739,-1.426928879177725,-1.0643228421600022,-1.8071503566709337,1,-0.1211058497428894,0.6689497718532574,0.6220739624317636,-1.3908216482829263,-1.200202661019737,-1.6076219395152405,0
64,33,0.6689497718532574,0.6220739624317636,-1.3908216482829263,-1.200202661019737,-1.6076219395152405,1,-0.15717282891273499,0.680217478338486,0.6329334257787846,-1.3547144173881278,-1.1322627515898696,-1.6294811663217472,0
64,34,0.680217478338486,0.6329334257787846,-1.3547144173881278,-1.1322627515898696,-1.6294811663217472,2,-0.5380070619285107,0.6431270109634475,0.6450398578347516,-1.318607186493329,-1.200202661019737,-1.6784771818610857,0
64,35,0.6431270109634475,0.6450398578347516,-1.318607186493329,-1.200202661019737,-1.6784771818610857,1,-0.21717052161693573,0.6986338084571387,0.6337622193953136,-1.2824999555985306,-1.3700524345944054,-1.6297351639851319,0
64,36,0.6986338084571387,0.6337622193953136,-1.2824999555985306,-1.3700524345944054,-1.6297351639851319,2,-0.5901182293891907,0.6631715159221877,0.6393318150518158,-1.2463927247037319,-1.5399022081690739,-1.6590905634844422,0
