s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
22.780487,20.770931,7.0,0.0,0.38095304,1,-0.2374777346849441,22.6521,20.770931,7.25,0.0,0.29159245,0
22.6521,20.770931,7.25,0.0,0.29159245,1,-0.2154825568199157,22.518822,20.770931,7.5,5.0,0.21827519,0
22.518822,20.770931,7.5,5.0,0.21827519,0,-0.0823834717273712,22.599993,20.770931,7.75,5.0,0.32383472,0
22.599993,20.770931,7.75,5.0,0.32383472,0,-0.0811894357204437,22.65943,20.770931,8.0,0.0,0.31189436,0
22.65943,20.770931,8.0,0.0,0.31189436,1,-0.2273096680641174,22.59364,20.770931,8.25,0.0,0.2576989,0
22.59364,20.770931,8.25,0.0,0.2576989,1,-0.2199743896722793,22.529255,20.770931,8.5,5.0,0.23324797,0
22.529255,20.770931,8.5,5.0,0.23324797,0,-0.0739069014787674,22.640139,20.770931,8.75,10.0,0.23906901,0
22.640139,20.770931,8.75,10.0,0.23906901,0,-0.0734753504395484,22.7001,20.770931,9.0,15.0,0.2347535,0
22.7001,20.770931,9.0,15.0,0.2347535,0,-0.0636868268251419,22.774017,20.770931,9.25,12.0,0.13686827,0
22.774017,20.770931,9.25,12.0,0.13686827,0,-0.0613838411867618,22.827751,20.770931,9.5,16.0,0.11383841,0
22.827751,20.770931,9.5,16.0,0.11383841,0,-0.0594826117157936,22.806065,20.770931,9.75,20.0,0.09482612,0
22.806065,20.770931,9.75,20.0,0.09482612,0,-0.0591087840497493,22.767046,20.770931,10.0,16.0,0.09108784,0
22.767046,20.770931,10.0,16.0,0.09108784,0,-0.0606697171926498,22.7835,20.770931,10.25,17.0,0.10669717,0
22.7835,20.770931,10.25,17.0,0.10669717,0,-0.064261570572853,22.780344,20.770931,10.5,16.0,0.1426157,0
22.780344,20.770931,10.5,16.0,0.1426157,0,-0.0663886874914169,22.784998,20.770931,10.75,21.0,0.16388687,0
22.784998,20.770931,10.75,21.0,0.16388687,0,-0.0626095101237297,22.839724,20.770931,11.0,20.0,0.1260951,0
22.839724,20.770931,11.0,20.0,0.1260951,0,-0.0607975140213966,22.931524,20.770931,11.25,15.0,0.10797514,0
22.931524,20.770931,11.25,15.0,0.10797514,0,-0.0556696034967899,23.002525,20.770931,11.5,13.0,0.056696035,0
23.002525,20.770931,11.5,13.0,0.056696035,0,-0.0560251872986555,22.976957,20.770931,11.75,11.0,0.060251873,0
22.976957,20.770931,11.75,11.0,0.060251873,0,-0.0563504211604595,23.03805,20.770931,12.0,11.0,0.06350421,0
23.03805,20.770931,12.0,11.0,0.06350421,0,-0.0591920524835586,23.13673,20.770931,12.25,8.0,0.091920525,0
23.13673,20.770931,12.25,8.0,0.091920525,0,-0.0659731075167655,23.179722,20.770931,12.5,5.0,0.15973108,0
23.179722,20.770931,12.5,5.0,0.15973108,0,-0.0747795283794403,23.215528,20.770931,12.75,10.0,0.24779528,0
23.215528,20.770931,12.75,10.0,0.24779528,0,-0.0778223067522049,23.283112,20.770931,13.0,5.0,0.27822307,0
23.283112,20.770931,13.0,5.0,0.27822307,0,-0.0695602416992187,23.287996,20.770931,13.25,0.0,0.19560242,0
23.287996,20.770931,13.25,0.0,0.19560242,1,-0.2183856278657913,23.119957,20.770931,13.5,0.0,0.2279521,0
23.119957,20.770931,13.5,0.0,0.2279521,1,-0.21865314245224,22.913548,20.770931,13.75,0.0,0.22884381,0
22.913548,20.770931,13.75,0.0,0.22884381,1,-0.1932086795568466,22.825872,20.770931,14.0,0.0,0.14402893,0
22.825872,20.770931,14.0,0.0,0.14402893,1,-0.1948694765567779,22.621582,20.770931,14.25,0.0,0.14956492,0
22.621582,20.770931,14.25,0.0,0.14956492,1,-0.2191189482808113,22.549557,20.770931,14.5,2.0,0.2303965,0
22.549557,20.770931,14.5,2.0,0.2303965,1,-0.2144376218318939,22.469316,20.770931,14.75,5.0,0.21479207,0
22.469316,20.770931,14.75,5.0,0.21479207,0,-0.0693521529436111,22.575315,20.770931,15.0,6.0,0.19352153,0
22.575315,20.770931,15.0,6.0,0.19352153,0,-0.0766915321350097,22.619951,20.770931,15.25,3.0,0.26691532,0
22.619951,20.770931,15.25,3.0,0.26691532,1,-0.2029275611042976,22.589664,20.770931,15.5,1.0,0.1764252,0
22.589664,20.770931,15.5,1.0,0.1764252,1,-0.2333421438932418,22.593943,20.770931,15.75,6.0,0.27780715,0
22.593943,20.770931,15.75,6.0,0.27780715,0,-0.0832887977361679,22.587095,20.770931,16.0,3.0,0.33288798,0
22.587095,20.770931,16.0,3.0,0.33288798,0,-0.0877056688070297,22.617964,20.770931,16.25,4.0,0.3770567,0
22.617964,20.770931,16.25,4.0,0.3770567,0,-0.0892822325229644,22.638628,20.770931,16.5,1.0,0.39282233,0
22.638628,20.770931,16.5,1.0,0.39282233,1,-0.2883465528488159,22.560616,20.770931,16.75,1.0,0.46115518,0
