episode_id,t,s_indoor,s_outdoor,s_tod,s_occ,s_price,action,reward,s2_indoor,s2_outdoor,s2_tod,s2_occ,s2_price,done
0,66,17.343155,11.8136635,13.5,13.0,0.02059614,2,-3.7754950523376465,17.752165,11.682067,13.75,8.0,0.027659796,0
0,67,17.752165,11.682067,13.75,8.0,0.027659796,1,-3.594017744064331,17.455982,11.71625,14.0,11.0,0.0,0
0,68,17.455982,11.71625,14.0,11.0,0.0,2,-3.7209811210632324,17.833239,11.64426,14.25,12.0,0.054219805,0
0,69,17.833239,11.64426,14.25,12.0,0.054219805,1,-3.5235838890075684,17.531158,11.653647,14.5,11.0,0.047422998,0
0,70,17.531158,11.653647,14.5,11.0,0.047422998,2,-3.6036458015441895,17.909891,11.3771515,14.75,15.0,0.013536926,0
0,71,17.909891,11.3771515,14.75,15.0,0.013536926,0,-3.3080196380615234,17.8575,11.3937025,15.0,19.0,0.051732402,0
0,72,17.8575,11.3937025,15.0,19.0,0.051732402,2,-3.4365005493164062,18.0635,11.315265,15.25,16.0,0.0,0
0,73,18.0635,11.315265,15.25,16.0,0.0,1,-3.399085521697998,17.652771,11.26861,15.5,21.0,0.018565355,0
0,74,17.652771,11.26861,15.5,21.0,0.018565355,0,-3.470503330230713,17.681484,11.32588,15.75,23.0,0.006625005,0
0,75,17.681484,11.32588,15.75,23.0,0.006625005,0,-3.5819802284240723,17.56802,11.37938,16.0,26.0,0.0,0
0,76,17.56802,11.37938,16.0,26.0,0.0,1,-3.817535400390625,17.234138,11.391023,16.25,30.0,0.016738998,0
0,77,17.234138,11.391023,16.25,30.0,0.016738998,0,-3.945030689239502,17.208696,11.431775,16.5,25.0,0.012423482,0
0,78,17.208696,11.431775,16.5,25.0,0.012423482,0,-3.9903414249420166,17.164553,11.3857155,16.75,25.0,0.016313486,0
0,79,17.164553,11.3857155,16.75,25.0,0.016313486,2,-4.108330249786377,17.447018,11.347691,17.0,25.0,0.055347733,0
0,80,17.447018,11.347691,17.0,25.0,0.055347733,1,-3.997370481491089,17.05479,11.177536,17.25,25.0,0.021609448,0
0,81,17.05479,11.177536,17.25,25.0,0.021609448,0,-4.101202487945557,17.048798,11.249373,17.5,29.0,0.0,0
0,82,17.048798,11.249373,17.5,29.0,0.0,0,-4.169867992401123,16.986513,11.260235,17.75,34.0,0.021271175,0
0,83,16.986513,11.260235,17.75,34.0,0.021271175,2,-4.242485523223877,17.324026,11.310591,18.0,33.0,0.066511706,0
0,84,17.324026,11.310591,18.0,33.0,0.066511706,0,-3.8905375003814697,17.264032,11.182614,18.25,36.0,0.0152326,0
0,85,17.264032,11.182614,18.25,36.0,0.0152326,1,-4.096695899963379,16.955183,11.225405,18.5,36.0,0.018788438,0
0,86,16.955183,11.225405,18.5,36.0,0.018788438,2,-4.162675857543945,17.337324,11.282237,18.75,34.0,0.0,0
0,87,17.337324,11.282237,18.75,34.0,0.0,0,-3.8663575649261475,17.303986,11.294728,19.0,36.0,0.06781055,0
0,88,17.303986,11.294728,19.0,36.0,0.06781055,0,-3.903148889541626,17.279139,11.355584,19.25,37.0,0.1076251,0
0,89,17.279139,11.355584,19.25,37.0,0.1076251,0,-3.9598729610443115,17.224499,11.190343,19.5,42.0,0.1145726,0
0,90,17.224499,11.190343,19.5,42.0,0.1145726,1,-4.171957492828369,16.880604,11.199632,19.75,43.0,0.025614172,0
0,91,16.880604,11.199632,19.75,43.0,0.025614172,2,-4.2732930183410645,17.271776,11.030002,20.0,45.0,0.045069113,0
0,92,17.271776,11.030002,20.0,45.0,0.045069113,0,-4.04562520980835,17.119556,11.071018,20.25,40.0,0.050605103,0
0,93,17.119556,11.071018,20.25,40.0,0.050605103,2,-4.015683650970459,17.543613,10.874603,20.5,42.0,0.059297007,0
0,94,17.543613,10.874603,20.5,42.0,0.059297007,1,-3.859243631362915,17.19456,10.8443165,20.75,47.0,0.038026467,0
0,95,17.19456,10.8443165,20.75,47.0,0.038026467,0,-4.071184158325195,17.112242,10.968647,21.0,52.0,0.111420244,1
1,0,20.898264,12.177673,23.0,19.0,0.33637464,2,-1.2193061113357544,20.588747,12.162101,23.25,22.0,0.30805314,0
1,1,20.588747,12.162101,23.25,22.0,0.30805314,0,-0.9241750240325928,20.307146,12.193632,23.5,17.0,0.27107033,0
1,2,20.307146,12.193632,23.5,17.0,0.27107033,2,-1.6594181060791016,20.179985,12.381534,23.75,17.0,0.33940318,0
1,3,20.179985,12.381534,23.75,17.0,0.33940318,0,-1.3366947174072266,19.921257,12.324675,0.0,21.0,0.35983926,0
1,4,19.921257,12.324675,0.0,21.0,0.35983926,0,-1.622536540031433,19.63202,12.340315,0.25,17.0,0.34852508,0
1,5,19.63202,12.340315,0.25,17.0,0.34852508,2,-2.264586925506592,19.612604,12.204696,0.5,12.0,0.3771912,0
1,6,19.612604,12.204696,0.5,12.0,0.3771912,1,-1.7643468379974365,19.328838,12.239221,0.75,17.0,0.43185136,0
